Категория;Сложность;Вопрос;Варианты_ответов
Литература;Средний;Кто написал «Гамлета»?;[Уильям Шекспир, Кристофер Марло, Джон Милтон, Джон Донн]
Литература;Средний;Кто написал «1984»?;[Джордж Оруэлл, Рэй Брэдбери, Герберт Уэллс, Айзек Азимов]
Литература;Средний;Кто написал «Великий Гэтсби»?;[Фрэнсис Скотт Фицджеральд, Эрнест Хемингуэй, Джон Стейнбек, Уильям Фолкнер]
Литература;Средний;Кто написал «Мёртвые души»?;[Николай Гоголь, Михаил Булгаков, Александр Пушкин, Иван Тургенев]
Литература;Сложный;Кто написал «Братья Карамазовы»?;[Фёдор Достоевский, Лев Толстой, Антон Чехов, Иван Тургенев]
Литература;Сложный;Кто написал «Войну миров»?;[Герберт Уэллс, Рэй Брэдбери, Артур Кларк, Айзек Азимов]
Литература;Сложный;Кто написал «Портрет Дориана Грея»?;[Оскар Уайльд, Артур Конан Дойл, Редьярд Киплинг, Томас Харди]
Литература;Сложный;Кто написал «Улисс»?;[Джеймс Джойс, Вирджиния Вулф, Т. С. Элиот, Д. Х. Лоуренс]
Литература;Сложный;Кто написал «Сто лет одиночества»?;[Габриэль Гарсиа Маркес, Хорхе Луис Борхес, Марио Варгас Льоса, Пабло Неруда]
Искусство;Легкий;Кто написал «Мона Лизу»?;[Леонардо да Винчи, Микеланджело, Рафаэль, Донателло]
Искусство;Легкий;В каком музее находится «Мона Лиза»?;[Лувр, Эрмитаж, Метрополитен, Прадо]
Искусство;Легкий;Кто написал «Ночь над звёздным небом»?;[Ван Гог, Пикассо, Дали, Моне]
Искусство;Легкий;В каком стиле работал Пикассо?;[Кубизм, Реализм, Импрессионизм, Романтизм]
Искусство;Легкий;Кто написал «Четыре времени года»?;[Вивальди, Бах, Моцарт, Бетховен]
Искусство;Средний;Где находится Сикстинская капелла?;[Ватикан, Флоренция, Рим, Венеция]
Искусство;Средний;Кто написал «Девушку с жемчужной серёжкой»?;[Ян Вермеер, Рембрандт, Франс Халс, Питер Пауль Рубенс]
Искусство;Средний;Кто написал «Крик»?;[Эдвард Мунк, Густав Климт, Поль Гоген, Винсент Ван Гог]
Искусство;Средний;Кто написал «Гернику»?;[Пабло Пикассо, Сальвадор Дали, Жоан Миро, Виллем де Кунинг]
Искусство;Средний;Кто написал «Последний суд»?;[Микеланджело, Леонардо да Винчи, Рафаэль, Донателло]
Искусство;Сложный;Кто написал «Звёздную ночь над Роной»?;[Винсент Ван Гог, Поль Гоген, Клод Моне, Огюст Ренуар]
Искусство;Сложный;Кто написал «Девушку с веером»?;[Пьер Огюст Ренуар, Клод Моне, Эдуард Мане, Гюстав Курбе]
Искусство;Сложный;Кто написал «Сон»?;[Пабло Пикассо, Сальвадор Дали, Жоан Миро, Марк Шагал]
Искусство;Сложный;Кто написал «Постоянство памяти»?;[Сальвадор Дали, Рене Магритт, Макс Эрнст, Жоан Миро]
Искусство;Сложный;Кто написал «Венера Милосская»?;[Александр из Антиохии, Микеланджело, Леонардо да Винчи, Рафаэль]
Музыка;Легкий;Сколько струн у гитары?;[6, 5, 7, 4]
Музыка;Легкий;Какой инструмент имеет клавиши?;[Фортепиано, Скрипка, Гитара, Труба]
Музыка;Легкий;Кто написал «Лунную сонату»?;[Бетховен, Моцарт, Бах, Шопен]
Музыка;Легкий;Сколько нот в диатонической гамме?;[7, 8, 6, 5]
Музыка;Легкий;Какой инструмент самый большой в оркестре?;[Контрабас, Виолончель, Скрипка, Флейта]
Музыка;Средний;Кто основал группу The Beatles?;[Джон Леннон, Пол Маккартни, Джордж Харрисон, Ринго Старр]
Музыка;Средний;В каком году вышел альбом «Thriller» Майкла Джексона?;[1982, 1985, 1980, 1988]
Музыка;Средний;Кто написал «Четыре времени года»?;[Вивальди, Бах, Моцарт, Бетховен]
Музыка;Средний;Сколько голосов в оперном квартете?;[4, 3, 5, 2]
Музыка;Средний;Какой музыкальный инструмент называется «король инструментов»?;[Орган, Фортепиано, Скрипка, Труба]
Музыка;Сложный;Кто написал симфонию №9 «Хоровая»?;[Бетховен, Моцарт, Брамс, Шуберт]
Музыка;Сложный;Кто написал «Времена года»?;[Вивальди, Бах, Гендель, Перголези]
Музыка;Сложный;Кто написал «Клятвопреступление»?;[Джузеппе Верди, Джакомо Пуччини, Риккардо Зандонаи, Амилкаре Понкьелли]
Музыка;Сложный;Кто написал «Свадьбу Фигаро»?;[Моцарт, Гайдн, Бетховен, Шуберт]
Музыка;Сложный;Кто написал «Кармен»?;[Жорж Бизе, Шарль Гуно, Джакомо Пуччини, Рихард Вагнер]
Кино;Легкий;Кто сыграл Джека в «Титанике»?;[Леонардо Ди Каприо, Брэд Питт, Том Круз, Джонни Депп]
Кино;Легкий;Как называется первая часть «Звёздных войн»?;[Эпизод IV, Эпизод I, Эпизод II, Эпизод III]
Кино;Легкий;Кто режиссёр «Крёстного отца»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Мартин Скорсезе, Квентин Тарантино]
Кино;Легкий;Сколько «Оскаров» получил «Титаник»?;[11, 10, 9, 12]
Кино;Легкий;Кто снял фильм «Криминальное чтиво»?;[Квентин Тарантино, Гай Ричи, Дэвид Финчер, Райан Джонсон]
Кино;Средний;В каком году вышел первый «Звёздный путь» фильм?;[1979, 1975, 1982, 1985]
Кино;Средний;Кто сыграл Гарри Поттера в фильмах?;[Дэниел Рэдклифф, Руперт Гринт, Том Фелтон, Эмма Уотсон]
Кино;Средний;Кто режиссёр фильма «Начало»?;[Кристофер Нолан, Джеймс Кэмерон, Питер Джексон, Джордж Лукас]
Кино;Средний;В каком году вышел первый фильм «Матрица»?;[1999, 1997, 2001, 1995]
Кино;Средний;Кто сыграл Железного человека?;[Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт]
Кино;Сложный;Кто снял фильм «Апокалипсис сегодня»?;[Фрэнсис Форд Коппола, Стивен Спилберг, Джордж Лукас, Мартин Скорсезе]
Кино;Сложный;Кто снял фильм «2001 год: Космическая одиссея»?;[Стэнли Кубрик, Альфред Хичкок, Фрэнсис Форд Коппола, Стивен Спилберг]
Кино;Сложный;Кто снял фильм «Паразиты»?;[Пон Джун-хо, Акира Куросава, Ким Ки Дук, Ли Чхан Дон]
Кино;Сложный;Кто снял фильм «Бойцовский клуб»?;[Дэвид Финчер, Тодд Филд, Терри Гиллиам, Майкл Бэй]
Кино;Сложный;Кто снял фильм «Сияние»?;[Стэнли Кубрик, Альфред Хичкок, Уильям Фридкин, Джордж Ромеро]
Технологии;Легкий;Что означает аббревиатура WWW?;[World Wide Web, World Web Wide, Wide World Web, Web World Wide]
Технологии;Легкий;Кто основал Microsoft?;[Билл Гейтс, Стив Джобс, Илон Маск, Марк Цукерберг]
Технологии;Легкий;Какая операционная система от Apple?;[iOS, Android, Windows, Linux]
Технологии;Легкий;Что означает HTML?;[HyperText Markup Language, HighText Machine Language, HyperText Machine Language, HyperTool Markup Language]
Технологии;Легкий;Кто изобрел World Wide Web?;[Тим Бернерс-Ли, Билл Гейтс, Стив Джобс, Винт Серф]
Технологии;Средний;Какой чип используется в iPhone?;[A-серия, Snapdragon, Exynos, Kirin]
Технологии;Средний;Что такое блокчейн?;[Технология распределённого реестра, База данных, Облачное хранилище, Сервер]
Технологии;Средний;Какая версия Windows самая популярная?;[Windows 10, Windows 7, Windows 11, Windows XP]
Технологии;Средний;Кто изобрёл транзистор?;[Бардин, Браттейн и Шокли, Эдисон, Тесла, Маркони]
Технологии;Средний;Что означает API?;[Application Programming Interface, Advanced Programming Interface, Application Process Interface, Advanced Process Interface]
Технологии;Сложный;Кто создал язык программирования Python?;[Гвидо ван Россум, Линус Торвальдс, Бьян Струструп, Джеймс Гослинг]
Технологии;Сложный;Что означает HTTP?;[HyperText Transfer Protocol, HighText Transfer Protocol, HyperText Transmission Protocol, HighText Transmission Protocol]
Технологии;Сложный;Какая компания владеет Android?;[Google, Apple, Microsoft, Samsung]
Технологии;Сложный;Что такое облачные вычисления?;[Использование удалённых серверов, Использование локальных серверов, Использование мобильных устройств, Использование спутников]
Технологии;Сложный;Кто создал Linux?;[Линус Торвальдс, Гвидо ван Россум, Бьян Струструп, Джеймс Гослинг]
Спорт;Легкий;Сколько игроков в футбольной команде на поле?;[11, 10, 12, 9]
Спорт;Легкий;В каком виде спорта используется мяч?;[Футбол, Бокс, Плавание, Лыжи]
Спорт;Легкий;Где проходили первые Олимпийские игры?;[Афины, Рим, Париж, Лондон]
Спорт;Легкий;Сколько колец на олимпийском флаге?;[5, 6, 4, 7]
Спорт;Легкий;Кто держит рекорд по золотым медалям на Олимпиадах?;[Майкл Фелпс, Усэйн Болт, Лариса Латынина, Карл Льюис]
Спорт;Средний;В каком году Россия принимала Чемпионат мира по футболу?;[2018, 2014, 2022, 2010]
Спорт;Средний;Сколько минут в футбольном матче?;[90, 80, 100, 70]
Спорт;Средний;Какой спорт называют королём спорта?;[Футбол, Бокс, Лёгкая атлетика, Плавание]
Спорт;Средний;Где проходили Олимпийские игры 2008?;[Пекин, Лондон, Рио, Токио]
Спорт;Средний;Сколько очков за 3-очковый бросок в баскетболе?;[3, 2, 1, 4]
Спорт;Сложный;Кто держит рекорд по голам в карьере?;[Криштиану Роналду, Лионель Месси, Пеле, Марадона]
Спорт;Сложный;В каком году Россия принимала Олимпиаду?;[2014, 2018, 2012, 2016]
Спорт;Сложный;Какой вид спорта самый популярный в мире?;[Футбол, Баскетбол, Теннис, Крикет]
Спорт;Сложный;Сколько очков в теннисном сете?;[6, 5, 7, 4]
Спорт;Сложный;Кто выиграл больше всего «Золотых мячей»?;[Лионель Месси, Криштиану Роналду, Йохан Кройф, Мишель Платини]
Животные;Легкий;Сколько ног у паука?;[8, 6, 4, 10]
Животные;Легкий;Какой зверь самый быстрый?;[Гепард, Лев, Тигр, Леопард]
Животные;Легкий;Какая птица не умеет летать?;[Страус, Орёл, Сокол, Воробей]
Животные;Легкий;Сколько сердец у осьминога?;[3, 2, 4, 1]
Животные;Легкий;Какой зверь спит стоя?;[Лошадь, Корова, Свинья, Коза]
Животные;Средний;Какое животное имеет самый большой мозг?;[Кит, Слон, Человек, Дельфин]
Животные;Средний;Какая птица самая большая?;[Страус, Пингвин, Орёл, Аист]
Животные;Средний;Сколько ног у краба?;[10, 8, 6, 12]
Животные;Средний;Какое животное самое высокое?;[Жираф, Слон, Лошадь, Олень]
Животные;Средний;Какая рыба самая большая?;[Китовая акула, Белая акула, Тунец, Лосось]
Животные;Сложный;Какое животное имеет самый большой мозг у беспозвоночных?;[Осьминог, Слон, Кит, Дельфин]
Животные;Сложный;Какая змея самая ядовитая?;[Тайпан, Кобра, Гремучая змея, Анаконда]
Животные;Сложный;Какое животное самое медленное?;[Ленивец, Черепаха, Улитка, Двухпалый ленивец]
Животные;Сложный;Сколько зубов у акул за всю жизнь?;[30000, 10000, 5000, 15000]
Животные;Сложный;Какое животное может жить без воды дольше всех?;[Верблюд, Тушканчик, Крыса, Мышь]
Кулинария;Легкий;Из чего делают суши?;[Рис, Паста, Картофель, Баклажан]
Кулинария;Легкий;Какой фрукт используется для бананового хлеба?;[Банан, Яблоко, Груша, Апельсин]
Кулинария;Легкий;Что такое паста карбонара?;[Макароны с беконом и яйцом, Паста с томатным соусом, Паста с грибами, Паста с креветками]
Кулинария;Легкий;Какая специя придаёт жёлтый цвет рису?;[Шафран, Куркума, Паприка, Карри]
Кулинария;Легкий;Что такое суфле?;[Воздушный десерт, Суп, Салат, Мясо]
Кулинария;Средний;Какой сыр используется для пиццы Маргарита?;[Моцарелла, Пармезан, Чеддер, Гауда]
Кулинария;Средний;Из чего делают хумус?;[Нут, Фасоль, Чечевица, Горох]
Кулинария;Средний;Что такое тако?;[Мексиканское блюдо, Китайское блюдо, Индийское блюдо, Японское блюдо]
Кулинария;Средний;Какая рыба используется для сашими?;[Сырая рыба, Варёная рыба, Жареная рыба, Копчёная рыба]
Кулинария;Средний;Что такое ризотто?;[Итальянское блюдо из риса, Французское блюдо из картофеля, Испанское блюдо из пасты, Немецкое блюдо из мяса]
Кулинария;Сложный;Как называется японское блюдо из сырой рыбы?;[Сашими, Суши, Рамен, Темпура]
Кулинария;Сложный;Что такое фо-бо?;[Вьетнамский суп, Китайский суп, Японский суп, Корейский суп]
Кулинария;Сложный;Какой ингредиент используется для тирамису?;[Маскарпоне, Рикотта, Пармезан, Моцарелла]
Кулинария;Сложный;Что такое гуакамоле?;[Соус из авокадо, Соус из томатов, Соус из чеснока, Соус из перца]
Кулинария;Сложный;Как называется французский пирог с заварным кремом?;[Квеш, Тарт, Пон, Круассан]
Мифология;Легкий;Кто бог молнии в греческой мифологии?;[Зевс, Посейдон, Аид, Аполлон]
Мифология;Легкий;Кто бог войны в греческой мифологии?;[Арес, Афина, Афродита, Гера]
Мифология;Легкий;Кто бог мудрости в греческой мифологии?;[Афина, Артемида, Гера, Деметра]
Мифология;Легкий;Кто бог любви в греческой мифологии?;[Афродита, Артемида, Гера, Деметра]
Мифология;Легкий;Кто бог подземного мира в греческой мифологии?;[Аид, Посейдон, Зевс, Аполлон]
Мифология;Средний;Кто создал человека в греческой мифологии?;[Прометей, Зевс, Аид, Посейдон]
Мифология;Средний;Кто украл огонь у богов?;[Прометей, Зевс, Аид, Посейдон]
Мифология;Средний;Кто был первым царём Рима?;[Ромул, Рем, Нума Помпилий, Тулл Гостилий]
Мифология;Средний;Кто был героем, победившим Медузу?;[Персей, Геракл, Тесей, Ясон]
Мифология;Средний;Кто был героем, победившим Минотавра?;[Тесей, Геракл, Персей, Ясон]
Мифология;Сложный;Кто был богом морей в римской мифологии?;[Нептун, Юпитер, Плутон, Марс]
Мифология;Сложный;Кто был богом войны в римской мифологии?;[Марс, Юпитер, Плутон, Нептун]
Мифология;Сложный;Кто был богом мудрости в римской мифологии?;[Минерва, Венера, Юнона, Диана]
Мифология;Сложный;Кто был богом любви в римской мифологии?;[Купидон, Марс, Юпитер, Плутон]
Мифология;Сложный;Кто был богом подземного мира в римской мифологии?;[Плутон, Юпитер, Марс, Нептун]
Транспорт;Легкий;Какой вид транспорта движется по рельсам?;[Поезд, Автомобиль, Самолёт, Корабль]
Транспорт;Легкий;Какой вид транспорта движется по воздуху?;[Самолёт, Автомобиль, Поезд, Корабль]
Транспорт;Легкий;Какой вид транспорта движется по воде?;[Корабль, Автомобиль, Поезд, Самолёт]
Транспорт;Легкий;Кто изобрёл автомобиль?;[Карл Бенц, Генри Форд, Никола Тесла, Томас Эдисон]
Транспорт;Легкий;Кто изобрёл самолёт?;[Братья Райт, Никола Тесла, Томас Эдисон, Генри Форд]
Транспорт;Средний;Какая скорость звука в воздухе?;[340 м/с, 300 м/с, 400 м/с, 250 м/с]
Транспорт;Средний;Какая скорость света в вакууме?;[300000 км/с, 150000 км/с, 450000 км/с, 200000 км/с]
Транспорт;Средний;Какой вид транспорта самый быстрый?;[Самолёт, Автомобиль, Поезд, Корабль]
Транспорт;Средний;Какой вид транспорта самый медленный?;[Корабль, Автомобиль, Поезд, Самолёт]
Транспорт;Средний;Какой вид транспорта самый популярный?;[Автомобиль, Самолёт, Поезд, Корабль]
Транспорт;Сложный;Кто изобрёл паровую машину?;[Джеймс Уатт, Никола Тесла, Томас Эдисон, Генри Форд]
Транспорт;Сложный;Кто изобрёл двигатель внутреннего сгорания?;[Николаус Отто, Генри Форд, Карл Бенц, Никола Тесла]
Транспорт;Сложный;Какой вид транспорта самый экологичный?;[Велосипед, Автомобиль, Поезд, Самолёт]
Транспорт;Сложный;Какой вид транспорта самый опасный?;[Самолёт, Автомобиль, Поезд, Корабль]
Транспорт;Сложный;Какой вид транспорта самый безопасный?;[Самолёт, Автомобиль, Поезд, Корабль]
Архитектура;Легкий;Где находится Эйфелева башня?;[Париж, Лондон, Берлин, Рим]
Архитектура;Легкий;Где находится Колизей?;[Рим, Афины, Париж, Лондон]
Архитектура;Легкий;Где находится Пирамида Хеопса?;[Египет, Мексика, Китай, Индия]
Архитектура;Легкий;Где находится Тадж-Махал?;[Индия, Китай, Япония, Корея]
Архитектура;Легкий;Где находится Статуя Свободы?;[США, Канада, Мексика, Бразилия]
Архитектура;Средний;Где находится Биг-Бен?;[Лондон, Париж, Берлин, Рим]
Архитектура;Средний;Где находится Пизанская башня?;[Италия, Франция, Германия, Испания]
Архитектура;Средний;Где находится Акрополь?;[Афины, Рим, Париж, Лондон]
Архитектура;Средний;Где находится Великая Китайская стена?;[Китай, Япония, Корея, Вьетнам]
Архитектура;Средний;Где находится Мачу-Пикчу?;[Перу, Боливия, Чили, Эквадор]
Архитектура;Сложный;Где находится Собор Святого Петра?;[Ватикан, Рим, Флоренция, Венеция]
Архитектура;Сложный;Где находится Саграда Фамилия?;[Барселона, Мадрид, Париж, Лондон]
Архитектура;Сложный;Где находится Бранденбургские ворота?;[Берлин, Париж, Лондон, Рим]
Архитектура;Сложный;Где находится Храм Артемиды?;[Эфес, Афины, Рим, Париж]
Архитектура;Сложный;Где находится Мечеть Голубая?;[Стамбул, Анкара, Каир, Тегеран]
Разное;Легкий;Сколько дней в неделе?;[7, 6, 8, 5]
Разное;Легкий;Сколько часов в сутках?;[24, 20, 30, 12]
Разное;Легкий;Сколько минут в часе?;[60, 50, 70, 40]
Разное;Легкий;Сколько секунд в минуте?;[60, 50, 70, 40]
Разное;Легкий;Сколько дней в месяце?;[30, 28, 31, 32]
Разное;Средний;Сколько дней в високосном году?;[366, 365, 364, 367]
Разное;Средний;Сколько дней в году?;[365, 366, 364, 367]
Разное;Средний;Сколько месяцев в году?;[12, 10, 11, 13]
Разное;Средний;Сколько недель в году?;[52, 50, 54, 48]
Разное;Средний;Сколько часов в неделе?;[168, 150, 170, 160]
Разное;Сложный;Сколько секунд в сутках?;[86400, 80000, 90000, 85000]
Разное;Сложный;Сколько минут в сутках?;[1440, 1400, 1500, 1300]
Разное;Сложный;Сколько часов в месяце?;[720, 700, 750, 680]
Разное;Сложный;Сколько недель в месяце?;[4, 3, 5, 6]
Разное;Сложный;Сколько дней в високосном месяце?;[29, 28, 30, 31]
Языки;Легкий;Сколько букв в русском алфавите?;[33, 32, 34, 31]
Языки;Легкий;Сколько букв в английском алфавите?;[26, 25, 27, 24]
Языки;Легкий;Сколько гласных букв в русском алфавите?;[10, 9, 11, 8]
Языки;Легкий;Сколько согласных букв в русском алфавите?;[21, 20, 22, 19]
Языки;Легкий;Сколько букв в испанском алфавите?;[27, 26, 28, 25]
Языки;Средний;Какой язык самый распространённый в мире?;[Английский, Китайский, Испанский, Русский]
Языки;Средний;Какой язык самый сложный?;[Китайский, Русский, Арабский, Японский]
Языки;Средний;Какой язык самый лёгкий?;[Испанский, Английский, Русский, Китайский]
Языки;Средний;Какой язык самый красивый?;[Французский, Итальянский, Испанский, Русский]
Языки;Средний;Какой язык самый старый?;[Санскрит, Китайский, Египетский, Греческий]
Языки;Сложный;Сколько языков в мире?;[7000, 5000, 9000, 6000]
Языки;Сложный;Сколько языков в России?;[150, 100, 200, 120]
Языки;Сложный;Какой язык самый древний?;[Санскрит, Китайский, Египетский, Греческий]
Языки;Сложный;Какой язык самый молодой?;[Искусственный, Русский, Английский, Китайский]
Языки;Сложный;Какой язык самый гибкий?;[Русский, Английский, Китайский, Японский]
Общая эрудиция;Легкий;Столица Франции?;[Париж, Лондон, Берлин, Рим]
Общая эрудиция;Легкий;Сколько цветов в радуге?;[7, 6, 8, 5]
Общая эрудиция;Легкий;Какая планета третья от Солнца?;[Земля, Марс, Венера, Юпитер]
Общая эрудиция;Средний;Кто написал «Войну и мир»?;[Лев Толстой, Достоевский, Пушкин, Чехов]
Общая эрудиция;Средний;В каком году началась Вторая мировая война?;[1939, 1941, 1945, 1938]
Общая эрудиция;Сложный;Какая самая длинная река в мире?;[Амазонка, Нил, Янцзы, Миссисипи]
Общая эрудиция;Сложный;Кто открыл пенициллин?;[Александр Флеминг, Луи Пастер, Роберт Кох, Илья Мечников]
Наука;Легкий;Химическая формула воды?;[H?O, CO?, O?, H?]
Наука;Легкий;Какой газ мы вдыхаем?;[Кислород, Азот, Углекислый газ, Водород]
Наука;Средний;Скорость света в вакууме?;[300000 км/с, 150000 км/с, 450000 км/с, 200000 км/с]
Наука;Средний;Какая планета самая горячая?;[Венера, Меркурий, Марс, Юпитер]
Наука;Сложный;Кто предложил модель атома с ядром?;[Резерфорд, Бор, Томсон, Демокрит]
Наука;Сложный;Какой элемент имеет атомный номер 1?;[Водород, Гелий, Литий, Углерод]
История;Легкий;Кто первый полетел в космос?;[Юрий Гагарин, Нил Армстронг, Алексей Леонов, Герман Титов]
История;Легкий;В каком году распался СССР?;[1991, 1989, 1993, 1985]
История;Средний;Кто был первым президентом США?;[Джордж Вашингтон, Томас Джефферсон, Авраам Линкольн, Джон Адамс]
История;Средний;В каком году произошло Крещение Руси?;[988, 954, 1054, 1000]
История;Сложный;Кто основал династию Романовых?;[Михаил Фёдорович, Пётр I, Николай I, Александр I]
История;Сложный;В каком году началась Первая мировая война?;[1914, 1917, 1918, 1912]
Спорт;Легкий;Сколько игроков в футбольной команде на поле?;[11, 10, 12, 9]
Спорт;Легкий;В каком виде спорта используется мяч?;[Футбол, Бокс, Плавание, Лыжи]
Спорт;Средний;Где проходили первые Олимпийские игры?;[Афины, Рим, Париж, Лондон]
Спорт;Средний;Сколько колец на олимпийском флаге?;[5, 6, 4, 7]
Спорт;Сложный;Кто держит рекорд по золотым медалям на Олимпиадах?;[Майкл Фелпс, Усэйн Болт, Лариса Латынина, Карл Льюис]
Спорт;Сложный;В каком году Россия принимала Чемпионат мира по футболу?;[2018, 2014, 2022, 2010]
Искусство;Легкий;Кто написал «Мона Лизу»?;[Леонардо да Винчи, Микеланджело, Рафаэль, Донателло]
Искусство;Легкий;В каком музее находится «Мона Лиза»?;[Лувр, Эрмитаж, Метрополитен, Прадо]
Искусство;Средний;Кто написал «Ночь над звёздным небом»?;[Ван Гог, Пикассо, Дали, Моне]
Искусство;Средний;В каком стиле работал Пикассо?;[Кубизм, Реализм, Импрессионизм, Романтизм]
Искусство;Сложный;Кто написал «Четыре времени года»?;[Вивальди, Бах, Моцарт, Бетховен]
Искусство;Сложный;Где находится Сикстинская капелла?;[Ватикан, Флоренция, Рим, Венеция]
География;Легкий;Самый большой океан?;[Тихий, Атлантический, Индийский, Северный Ледовитый]
География;Легкий;Столица России?;[Москва, Санкт-Петербург, Казань, Новосибирск]
География;Средний;Самая длинная река в России?;[Лена, Енисей, Обь, Амур]
География;Средний;Какая страна самая большая по площади?;[Россия, Канада, Китай, США]
География;Сложный;Самая высокая гора в мире?;[Эверест, К2, Килиманджаро, Эльбрус]
География;Сложный;Какая страна имеет форму сапога?;[Италия, Испания, Греция, Португалия]
Технологии;Легкий;Что означает аббревиатура WWW?;[World Wide Web, World Web Wide, Wide World Web, Web World Wide]
Технологии;Легкий;Кто основал Microsoft?;[Билл Гейтс, Стив Джобс, Илон Маск, Марк Цукерберг]
Технологии;Средний;Какая операционная система от Apple?;[iOS, Android, Windows, Linux]
Технологии;Средний;Что означает HTML?;[HyperText Markup Language, HighText Machine Language, HyperText Machine Language, HyperTool Markup Language]
Технологии;Сложный;Кто изобрел World Wide Web?;[Тим Бернерс-Ли, Билл Гейтс, Стив Джобс, Винт Серф]
Технологии;Сложный;Какой чип используется в iPhone?;[A-серия, Snapdragon, Exynos, Kirin]
Общая эрудиция;Легкий;Столица Франции?;[Париж, Лондон, Берлин, Рим]
Общая эрудиция;Легкий;Сколько цветов в радуге?;[7, 6, 8, 5]
Общая эрудиция;Легкий;Какая планета третья от Солнца?;[Земля, Марс, Венера, Юпитер]
Общая эрудиция;Легкий;Сколько дней в високосном году?;[366, 365, 364, 367]
Общая эрудиция;Легкий;Какой континент самый большой?;[Азия, Африка, Европа, Америка]
Общая эрудиция;Средний;Кто написал «Войну и мир»?;[Лев Толстой, Достоевский, Пушкин, Чехов]
Общая эрудиция;Средний;В каком году началась Вторая мировая война?;[1939, 1941, 1945, 1938]
Общая эрудиция;Средний;Какая страна имеет форму сапога?;[Италия, Испания, Греция, Португалия]
Общая эрудиция;Средний;Сколько материков на Земле?;[6, 5, 7, 4]
Общая эрудиция;Средний;Какой океан самый большой?;[Тихий, Атлантический, Индийский, Северный Ледовитый]
Общая эрудиция;Сложный;Самая длинная река в мире?;[Амазонка, Нил, Янцзы, Миссисипи]
Общая эрудиция;Сложный;Кто открыл пенициллин?;[Александр Флеминг, Луи Пастер, Роберт Кох, Илья Мечников]
Общая эрудиция;Сложный;Какая самая высокая гора в мире?;[Эверест, К2, Килиманджаро, Эльбрус]
Общая эрудиция;Сложный;В каком году человек впервые ступил на Луну?;[1969, 1967, 1971, 1965]
Общая эрудиция;Сложный;Сколько элементов в периодической таблице Менделеева?;[118, 100, 120, 115]
Математика;Легкий;Сколько будет 7 + 8?;[15, 13, 5, 52]
Математика;Легкий;Квадратный корень из 144?;[12, 14, 10, 16]
Математика;Легкий;Сколько градусов в прямом угле?;[90, 180, 45, 60]
Математика;Легкий;Сколько будет 15 + 27?;[42, 40, 44, 38]
Математика;Легкий;Чему равно 100 / 4?;[25, 20, 30, 15]
Математика;Средний;Сумма углов треугольника?;[180°, 360°, 90°, 270°]
Математика;Средний;Число Пи примерно равно?;[3.14, 3.16, 3.12, 3.18]
Математика;Средний;Сколько сантиметров в одном метре?;[100, 10, 1000, 50]
Математика;Средний;Квадрат числа 9?;[81, 72, 90, 63]
Математика;Средний;Сколько будет 12 ? 12?;[144, 124, 164, 134]
Математика;Сложный;Кто изобрел интегральное исчисление?;[Ньютон и Лейбниц, Эйлер, Гаусс, Ферма]
Математика;Сложный;Какое число называют «числом Эйлера»?;[2.718, 1.618, 3.141, 2.302]
Математика;Сложный;Сколько будет 5! (факториал)?;[120, 130, 100, 24]
Математика;Сложный;Сколько будет 7! (факториал)?;[5040, 720, 40320, 10080]
Математика;Сложный;Теорема Пифагора?;[a? + b? = c?, a + b = c, a ? b = c, a ? b = c]
Наука;Легкий;Химическая формула воды?;[H?O, CO?, O?, H?]
Наука;Легкий;Какой газ мы вдыхаем?;[Кислород, Азот, Углекислый газ, Водород]
Наука;Легкий;Сколько планет в Солнечной системе?;[8, 9, 7, 10]
Наука;Легкий;Какая планета красная?;[Марс, Венера, Юпитер, Сатурн]
Наука;Легкий;Сколько ног у паука?;[8, 6, 4, 10]
Наука;Средний;Скорость света в вакууме?;[300000 км/с, 150000 км/с, 450000 км/с, 200000 км/с]
Наука;Средний;Какая планета самая горячая?;[Венера, Меркурий, Марс, Юпитер]
Наука;Средний;Сколько хромосом у человека?;[46, 23, 48, 44]
Наука;Средний;Какая клетка самая большая?;[Яйцеклетка, Нейрон, Эритроцит, Лейкоцит]
Наука;Средний;Сколько сердец у осьминога?;[3, 2, 4, 1]
Наука;Сложный;Кто предложил модель атома с ядром?;[Резерфорд, Бор, Томсон, Демокрит]
Наука;Сложный;Какой элемент имеет атомный номер 1?;[Водород, Гелий, Литий, Углерод]
Наука;Сложный;Кто открыл структуру ДНК?;[Уотсон и Крик, Мендель, Дарвин, Мечников]
Наука;Сложный;Как называется процесс деления клетки?;[Митоз, Мейоз, Фагоцитоз, Осмос]
Наука;Сложный;Какой металл жидкий при комнатной температуре?;[Ртуть, Свинец, Олово, Цинк]
История;Легкий;Кто первый полетел в космос?;[Юрий Гагарин, Нил Армстронг, Алексей Леонов, Герман Титов]
История;Легкий;В каком году распался СССР?;[1991, 1989, 1993, 1985]
История;Легкий;Кто был первым президентом США?;[Джордж Вашингтон, Томас Джефферсон, Авраам Линкольн, Джон Адамс]
История;Легкий;В каком году произошло Крещение Руси?;[988, 954, 1054, 1000]
История;Легкий;Кто основал династию Романовых?;[Михаил Фёдорович, Пётр I, Николай I, Александр I]
История;Средний;В каком году началась Первая мировая война?;[1914, 1917, 1918, 1912]
